span_short,span_long,vol_window,forecast_scale,cap,weight,tau,capital,idm,multiplier,fx,oos_pnl,oos_sharpe,oos_max_drawdown,oos_profit_factor,oos_start_equity,oos_end_equity
10,50,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,179474.18216705322,0.8601179054997442,0.0,1.1990422666695366,100000.0,279474.1821670532
10,50,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,143507.87422180176,0.6907888267427955,0.0,1.1396955957124202,100000.0,243507.87422180173
10,50,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,107904.91466522201,0.551764985576323,0.0,1.1116470912424328,100000.0,207904.914665222
10,50,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,-19111.278800964414,-0.11236871031740547,0.0,0.9780019679332942,100000.0,80888.7211990356
10,50,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,24306.170959472634,0.13635366690548778,0.0,1.0314770298880176,100000.0,124306.17095947261
10,50,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,75221.71600341794,0.44780941390368356,0.0,1.1000726173120958,100000.0,175221.71600341797
10,50,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,36022.37335205077,0.22224398641887766,0.0,1.0480714694277984,100000.0,136022.37335205075
10,50,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,-9406.928710937502,-0.06186877125898549,0.0,0.987315202905831,100000.0,90593.0712890625
10,50,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,-34785.7763671875,-0.2236691369031315,0.0,0.9523570917038847,100000.0,65214.2236328125
10,50,32,4.1,20,1.0,0.2,100000,1.0,5.0,1.0,5452.91259765625,0.029105970353823736,0.0,1.0061936669631693,100000.0,105452.91259765625
